id,adresse,cp,ville,pop
17200007,Quai L'Herminier,17200,Royan,R
17200008,"1, AV DE LA LIBERATION",17200,ROYAN,R
17200009,8 AVENUE MARYSE BASTIE,17200,ROYAN,R
17201001,Rue Laurent-Antoine de Lavoisier,17200,ROYAN,R
17210001,Lieu-dit Le Terrier de Chierzac,17210,Bedenac,R
17210002,RN 10,17210,Bedenac,R
17220001,6 rue des Ecoles,17220,La Jarrie,R
17220002,LE PETIT BONNEVEAU,17220,Salles-sur-Mer,R
17220003,1Bis Route de la Jarne,17220,Saint-Rogatien,R
17230001,"1, rue des Ecoles",17230,Charron,R
17230002,1 RUE D'ALIGRE,17230,MARANS,R
17230004,114 Avenue du Général de Gaulle,17230,Marans,R
17240001,77 Route de Saintes,17240,SAINT-GENIS-DE-SAINTONGE,R
17250002,29 Rue Clair Pertus,17250,PONT-L'ABBé-D'ARNOULT,R
17250003,Rue du gros chêne,17250,Saint-Porchaire,R
17260001,ROUTE DE SAINTES,17260,GEMOZAC,R
17270001,Zone commerciale de clairvent,17270,MONTGUYON,R
17285001,rue du 14 juillet,17138,PUILBOREAU,R
17290001,37 BIS PLACE DE LA REPUBLIQUE,17290,AIGREFEUILLE-D'AUNIS,R
17290002,Place du 8 Mai 1945,17290,Aigrefeuille-d'Aunis,R
17290003, Place de la Renaissance,17290,AIGREFEUILLE-D'AUNIS,R
17300001,Avenue du Colonel Fuller,17300,ROCHEFORT,R
17300002,1 Avenue d'Aunis,17300,Rochefort,R
17300003, Impasse du 11 Novembre 1918,17300,ROCHEFORT,R
17300004,route de la rochelle,17300,ROCHEFORT,R
17300006,1 Avenue d'Aunis,17300,ROCHEFORT,R
17300007,Avenue du Colonel FULLER,17300,ROCHEFORT,R
17310001,1 Avenue du Général Leclerc,17310,SAINT-PIERRE-D'OLERON,R
17310003,41 av du moulin blanc,17310,SAINT-PIERRE-D'OLéRON,R
17310004,RD 734 BONNEMIE,17310,SAINT-PIERRE-D'OLéRON,R
17320002,Rue de la République,17320,MARENNES,R
17320003,ZA des Grossines,17320,Marennes,R
17320004,LA CHAINADE,17320,Marennes,R
17330001,7 RN,17330,VILLENEUVE-LA-COMTESSE,R
17350001,A10 AIRE DE FENIOUX EST,17350,Fenioux,A
17350002,A10 AIRE DE FENIOUX OUEST,17350,FENIOUX,A
17350003,ROUTE DE SAINTES,17350,Saint-Savinien,R
17350005,Route de Saintes,17350,Saint-Savinien,R
17350006,A10 - AIRE DE FENIOUX OUEST,17350,FENIOUX,A
17360001,8 Avenue du Maréchal Leclerc,17360,SAINT-AIGULIN,R
17390002,ZAC DES BREGAUDIERES,17390,La Tremblade,R
17400001,Avenue du Point du Jour,17400,SAINT-JEAN-D'ANGéLY,R
17400002,Rue de la Sacristinerie,17400,SAINT-JEAN-D'ANGéLY,R
17400003,Rue Alexandre Dumas,17400,Saint-Jean-d'Angély,R
17400004,286 Route de Saintes,17400,SAINT-JEAN-D'ANGéLY,R
17410001, Route de la Flotte,17410,SAINT-MARTIN-DE-Ré,R
17410002,4 Avenue des Corsaires,17410,Saint-Martin-de-Ré,R
17420001,Avenue Charles de Gaulle,17420,SAINT-PALAIS-SUR-MER,R
17430001,ZAC DE LA VARENNE   N 137,17430,Tonnay-Charente,R
17430006,"109, Avenue d'Aunis",17430,TONNAY-CHARENTE,R
17430007,109 AVENUE D'AUNIS,17430,TONNAY CHARENTE,R
17440001,Route de Surgeres,17440,AYTRE,R
17440003, Rue Nicolas Gargot,17440,AYTRé,R
17450001,9 rue Dieu me Garde,17450,FOURAS,R
17470001,Route de Poitiers,17470,Aulnay,R
17500001,16 Avenue Monseigneur Chauvin,17500,JONZAC,R
17500002,Avenue Monseigneur Chauvin,17500,JONZAC,R
17500003,3 Avenue Faidherbe,17500,Jonzac,R
17530001,Le Moulin des Justices,17530,ARVERT,R
17530003,17 avenue de la presqu'ile,17530,ARVERT,R
17550001,Rue de l'Écuissière,17550,DOLUS-D'OLéRON,R
17560001,67 Avenue de la République,17560,BOURCEFRANC-LE-CHAPUS,R
17570001,4 AVENUE ROYANT,17570,LES MATHES,R
17580001,RTE DE STE MARIE,17580,LE BOIS-PLAGE-EN-Ré,R
17590002,735 Route de St Clément Baleines,17590,Ars-en-Ré,R
17600001,ROUTE DE SAINTES,17600,Saujon,R
17600002,204 ROUTE DE ROYAN   AERODROME,17600,MéDIS,R
17600003,Route de la Tremblade,17600,Saujon,R
17610001,"3, route des Cèdres",17610,CHANIERS,R
17620002, Rue de la Pouline,17620,ECHILLAIS,R
17630001,Rue Caillotière,17630,La Flotte,R
17640001,AV DES HAUTES FOLIES,17640,VAUX-SUR-MER,R
17640002,5 rue Jacques Yves Cousteau,17640,Vaux-sur-Mer,R
17670001,26 ROUTE D ARS,17670,LA COUARDE-SUR-MER,R
17670002,26 Route d'Ars,17670,La Couarde-sur-Mer,R
17690001,Route de Rochefort,17690,ANGOULINS,R
17690002,TOTAL ACCESS Rte de Rochefort,17690,ANGOULINS,R
17690003,Route de la Rochelle RN 137,17690,ANGOULINS,R
17700001,13 Avenue Saint-Pierre,17700,Surgères,R
17700002,44 Rue Audry de Puyravault,17700,Surgères,R
17700003,Espace Jean-Philippe Rameau,17700,SURGERES,R
17700004,Avenue François Mitterrand,17700,Surgères,R
17740001,CD201,17740,Sainte-Marie-de-Ré,R
17780001,28 Avenue Jean Moulin,17780,SOUBISE,R
17800001,A10 AIRE CHARENTES EST,17800,Saint-Léger,A
17800002,AUT A 10  AIRE DE SAINT LEGER,17800,PONS,A
17800003,"99, avenue Gambetta",17800,Pons,R
17800004, Route de Coudenne,17800,PONS,R
17800005,Autoroute A10 Aire de Saint-Léger,17800,Saint-Léger,A
17920001,46 route du Magarin,17920,BREUILLET,R
18000001,AVENUE DE LATTRE DE TASSIGNY,18000,BOURGES,R
18000002,CHAUSSE DE CHAPPE,18000,BOURGES,R
18000004,110 Avenue Marcel Haegelen,18000,BOURGES,R
18000007,10 AV.DES PRES LE ROI,18000,BOURGES,R
18000008,BOULEVARD DE L'INDUSTRIE,18000,BOURGES,R
18000009,PLACE AGENOR BARDOUX,18000,Bourges,R
18000011,Rue Raymond Boisdé,18000,Bourges,R
18000012,Place du 8 mai,18390,SAINT GERMAIN DU PUY,R
18000013,8 Boulevard de l'Avenir,18000,Bourges,R
18000014,114 Avenue de Dun-sur-Auron,18000,Bourges,R
18000016,Place Agénor Bardoux,18000,BOURGES,R
